filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,mfcc_delta_1,mfcc_delta_2,mfcc_delta_3,mfcc_delta_4,mfcc_delta_5,mfcc_delta_6,mfcc_delta_7,mfcc_delta_8,mfcc_delta_9,mfcc_delta_10,mfcc_delta_11,mfcc_delta_12,mfcc_delta_13,mfcc_delta_14,mfcc_delta_15,mfcc_delta_16,mfcc_delta_17,mfcc_delta_18,mfcc_delta_19,mfcc_delta_20,mfcc_delta2_1,mfcc_delta2_2,mfcc_delta2_3,mfcc_delta2_4,mfcc_delta2_5,mfcc_delta2_6,mfcc_delta2_7,mfcc_delta2_8,mfcc_delta2_9,mfcc_delta2_10,mfcc_delta2_11,mfcc_delta2_12,mfcc_delta2_13,mfcc_delta2_14,mfcc_delta2_15,mfcc_delta2_16,mfcc_delta2_17,mfcc_delta2_18,mfcc_delta2_19,mfcc_delta2_20,label
#NAME?,0.274164885,0.166365236,1956.219585,1874.866297,3531.445313,0.104763455,-202.1298523,81.03450775,-57.60246658,-26.70276833,-29.78616524,-12.45351028,-32.74725342,-11.21117687,6.495367527,-10.49577236,-18.5598526,1.788005352,-6.163512707,-2.097646475,-10.94404888,-7.055097103,-9.659549713,-3.695300579,6.132784367,14.15843582,0.497967184,0.347408623,0.30191204,0.541713297,-0.168532118,-0.40256995,-0.020446787,0.039927546,-0.175166339,-0.129066616,-0.115586311,-0.156254128,-0.065761134,-0.028958704,0.117288321,0.02053787,-0.12393865,-0.02790655,0.12468791,0.047668844,0.502948046,0.160970494,-0.061581366,0.041913491,0.038589925,-0.096820354,-0.027838469,-0.081906751,0.021591054,0.020459903,-0.002871509,-0.047763783,-0.062244836,0.002100028,0.062647998,-0.043017298,0.023236362,0.063764706,0.045919862,0.023546517,not_covid
#NAME?,0.525689065,0.007716475,3233.052293,2889.719966,6784.254964,0.193895128,-419.2050781,66.34024811,-4.05352211,-9.764458656,-12.32353878,-1.048404336,-11.01981449,-24.39359093,-11.22245026,7.938504696,-21.89598083,1.973421216,5.822959423,-14.370368,-2.093635559,-4.683834076,-2.50903821,-6.831876278,-6.762606144,1.770267606,0.925317407,-0.212226406,-0.181817472,-0.118214935,-0.032043293,-0.06063962,-0.026866224,-0.271094382,-0.154184699,0.029273899,0.033744168,0.006509423,0.058890387,-0.032790985,0.01575008,0.10765256,0.008064045,-0.033116624,-0.077126771,0.046047483,-0.014749403,0.054412771,0.043690853,0.064866416,0.001669164,0.007246653,0.036410604,0.056184869,0.037036307,-0.027099861,0.005888992,-0.009099226,-0.035630569,0.03872861,0.006185585,-0.017955672,-0.012079739,0.035167631,-0.017678438,0.042398673,not_covid
#NAME?,0.464027971,0.04348895,2454.187267,1973.008894,4241.293335,0.163915564,-234.90448,79.55067444,-53.64713669,22.16709137,10.99892712,5.229691029,-25.47039795,13.11908531,-16.96360207,22.3936882,6.221456051,3.16972518,4.551381588,11.31572151,-5.284243584,-0.206850797,-3.723550797,5.984891415,-2.299465418,-0.146718413,0.731242418,0.266363502,0.123520143,0.195950195,0.032616545,0.091885805,0.039123148,0.077628225,0.046857763,0.097159751,-0.02138143,0.030974237,-0.020653777,0.02575374,0.000528545,0.005793015,0.021865703,0.003378921,0.01560362,0.012811393,0.046925828,-0.066391528,-0.006560008,0.047278278,0.040739268,0.00958675,0.001779848,-0.003529215,-0.029394763,-0.015381776,-0.011493362,0.015671697,-0.001774044,-0.015645988,-0.00997461,-0.015850365,0.000879608,-0.002871023,-0.010252363,-0.005765516,not_covid
#NAME?,0.488903373,0.003103614,2446.901246,2840.787283,5940.721639,0.066064905,-496.1286926,81.61753082,17.58350945,15.76742935,-8.162027359,13.40291309,-11.68777466,0.882455289,5.831654072,10.64382362,5.419490814,1.959716082,-7.78670454,3.752500772,0.064954266,-3.609205723,-0.869561076,3.555005074,-2.374847889,-6.280956745,0.018279623,-0.016937185,-0.026043151,-0.026308337,0.012024001,0.00343115,-0.001900545,0.002617549,-0.016415192,0.024446774,0.013125326,-0.008907688,0.025739254,0.007062222,0.043222528,0.080527864,0.001118704,0.011975406,-0.007226775,0.00321204,0.037273142,0.051005155,0.021607885,0.027695604,0.027812568,0.009780611,-0.005738444,-0.009805582,0.01935968,0.015791617,0.026689516,0.025973758,0.015115161,0.004783825,0.001796481,-0.007040876,0.005466333,0.011062511,0.025838975,0.002882916,not_covid
#NAME?,0.308861583,0.142870933,2194.446152,2214.090026,4194.139608,0.11831326,-228.1712646,76.31012726,7.804169178,32.22862244,-6.938716412,-8.786757469,-14.37849522,-8.04855442,-4.443941593,0.219740406,-10.64119911,-3.940830946,-8.908614159,-6.247620583,-14.33883095,-3.959901571,-7.25457716,-3.451487303,-1.238988638,-2.266530275,-0.309844822,0.081581168,0.041139815,-0.28788057,-0.088686273,0.031212047,-0.012560703,0.011146545,0.112691164,-0.002387831,0.009550552,-0.014381642,0.028827252,0.056883875,0.023043822,-0.050703313,0.035854694,0.002247439,-0.012487561,0.092396416,0.003279068,0.03723399,-0.025008352,0.016771225,0.023957359,0.036312703,0.092224881,-0.006440348,0.000248098,0.0392031,0.028722916,0.014817531,0.023278285,0.012956337,0.023278849,0.002157304,0.025696782,0.013316623,0.019390367,0.022493875,not_covid
#NAME?,0.411364883,0.079978637,2136.841087,2373.170802,4689.004517,0.090790925,-250.9415131,97.70386505,-0.071325235,21.09972763,-3.816889763,5.16159296,-1.990683913,-0.086047985,0.37685436,2.622756481,-3.272058249,10.31726933,1.628429651,8.851666451,2.193189859,-4.499552727,-2.614348173,-4.577003002,-7.538967609,0.176355287,-0.411332816,-0.216487586,0.102246493,-0.012034416,0.172796935,0.161125079,-0.03837293,0.139985114,0.062512293,0.058396142,0.069238573,-0.157580346,-0.199255183,-0.125708356,-0.041976977,0.071126908,0.015231954,0.025436733,0.058282018,0.0159209,0.101956666,0.01370164,-0.065143093,-0.009611598,-0.006696692,0.009511246,-0.00977869,-0.063554555,-0.03847108,-0.058916766,-0.022709122,0.01158725,0.019387018,0.041965954,0.049463086,-0.016684053,-0.023711959,0.017692585,0.000237774,-0.042762253,not_covid
#NAME?,0.434177548,0.014230295,2358.208517,2759.825235,5648.228963,0.088315611,-356.162262,95.73053741,15.42177677,13.00573635,7.789378643,2.054711819,-6.4310112,7.327680588,-2.350342035,4.957019329,-10.23612785,0.578187823,-5.193078518,0.930666447,-4.965286732,0.422140658,-5.249933243,-1.574184895,-0.652959883,1.319120765,0.768259168,-0.276674062,0.107113793,-0.050628621,-0.236973122,0.013932396,0.027094206,0.018184233,-0.00782037,-0.003281666,-0.052259587,0.080435209,0.093509182,0.053786971,-0.00716796,-0.008385577,-0.002488824,0.000418027,0.003455738,0.026637908,0.078455992,-0.300198883,0.144965112,0.118150443,-0.036269616,0.039219946,0.006461793,-0.047454983,0.001936692,0.041318726,0.000365074,-0.010523393,-0.001528703,-0.001693194,0.018795084,-0.016705399,-0.013217272,-0.015770843,-0.01048615,-0.031205548,not_covid
_-_5kbw2Mcw_,0.428970516,0.187262475,1524.040531,989.8332164,2479.907227,0.122563115,-156.6860504,156.3040314,-89.40658569,-7.806011677,13.55233002,-32.60574722,-24.87144661,-6.939074516,-24.24305153,-4.7115345,-1.1698668,-13.0523243,3.85118556,-6.640303612,-14.33138275,2.122617722,-5.000946522,-14.08956528,-0.362562954,-0.691725969,-0.066444553,-0.154096246,-0.05461859,0.161822826,0.058310095,-0.02210716,0.165104553,0.094962463,-0.095007472,-0.019789325,-0.078118764,-0.193492115,0.014567005,0.086503349,-0.078453146,0.001840989,0.104817197,-0.017726466,-0.014221377,0.095990986,-0.026274681,-0.065084964,-0.03211705,0.034311578,0.004154426,-0.005483362,0.011629961,-0.008242823,0.003683412,0.003758049,-0.026107021,0.002264813,0.036317047,0.014212209,-0.007215977,-0.010082293,-0.015741512,0.004162559,0.048592892,0.047008481,not_covid
_0WKVY0n8aE_,0.442778468,0.056437451,4758.135833,2732.200131,7728.525798,0.342737269,-171.5759583,3.534905434,6.641980171,12.74065971,-5.926914692,1.558845282,-22.32530022,8.836058617,-10.69481564,-3.053358793,-10.05277824,-0.612845957,-4.636991501,-7.177852631,-0.415460378,2.613241673,-4.852502346,0.048553254,-4.772405624,-4.60379982,1.301129222,-0.114329197,0.183479607,-0.079711564,-0.091274261,-0.098513328,-0.040277455,-0.03367351,0.048642952,0.136982217,-0.031847991,0.03016372,0.182445258,-0.021795038,-0.036527246,0.069315627,-0.017840907,-0.076656811,-0.042400081,-0.063593298,0.108555846,-0.114267737,0.105357088,-0.055589471,-0.045162819,0.050377999,0.007381055,0.006913212,-0.016489744,-0.034231957,-0.068344936,-0.028137865,-0.00614976,0.006114949,0.015633449,-0.007900198,-0.026153967,0.013987797,0.015589214,0.020867757,not_covid
_9YKlnmoDjs_,0.547267139,0.032380503,2612.256186,2760.51917,5789.640299,0.110175239,-354.5122986,64.30206299,3.013714314,10.37914658,0.075824879,4.487957954,1.14199698,5.855417252,-5.41896677,0.760028958,2.93363452,0.8774544,-1.544650316,-0.679430366,-0.763572276,1.645066977,-1.781283855,0.559741974,-1.050913572,-0.355683863,-0.507457316,-0.047067307,0.19124791,-0.104660496,-0.130333841,-0.033164885,0.081111841,0.037890151,-0.071329296,-0.02589771,-0.083234854,0.080408327,0.090913527,0.020658264,0.056255337,-0.02203406,-0.045020349,-0.074468121,-0.013766355,0.096203953,-0.42061305,0.19274132,-0.061798546,0.030173555,0.071781315,0.033333912,-0.04561669,0.105200715,0.047393631,0.010674264,-0.010067099,0.018662665,0.093843669,0.048543826,-0.033536911,0.009221889,-0.008623321,-0.04597792,-0.042103246,-0.005600042,not_covid
_AjXY9cHCxA_,0.571199894,0.022513296,1232.49859,1179.593918,2502.18811,0.077067057,-387.5211182,93.14995575,-1.404616237,15.40966129,16.68875313,-13.41231251,-5.83963728,4.117827415,-1.007465482,1.126204848,0.040377583,1.386620998,5.610618114,-1.610420465,-3.236291647,4.165085316,3.08899188,3.301065207,6.552882671,2.185101032,0.192724019,0.090045363,-0.043437902,0.069953956,0.011799335,-0.115731046,-0.028416634,0.054057688,0.045108821,0.076447718,0.094675153,0.086624324,0.079577096,0.024953382,-0.006861201,0.029389907,0.044631314,0.031973641,0.010364341,-0.020937119,0.212746337,0.212962061,0.101607226,0.063217372,0.018437704,0.007894631,0.01591724,-0.029268431,-0.039853521,-0.014724369,-0.036347039,-0.036476068,-0.007038716,-0.021859059,-0.029003259,-0.004594483,-0.003116156,-0.00504933,0.012988395,0.023190929,not_covid
_D3sxdtbFas_,0.469756812,0.039109398,3281.025756,2693.061051,6281.913249,0.192344383,-325.8786926,48.86345673,-25.69501495,2.885147333,-16.94680405,-12.03721523,-15.28961372,-19.87655067,-6.021713734,-8.174819946,-12.13391113,-2.784968615,-4.582729816,-5.241445065,-8.406720161,-2.569589138,-5.049071312,-6.77669096,-7.10817337,-4.704679012,1.055548668,-0.179939926,-0.030279743,0.121640541,-0.2013686,-0.014341937,-0.047181677,0.090997584,-0.020226741,-0.098330669,0.180301636,-0.076781958,0.116507493,-0.077528298,-0.04963617,-0.021553326,-0.02899405,-0.017462095,0.019004127,0.06840615,0.29501459,-0.012089902,-0.047038909,-0.056563701,-0.042879019,0.052095447,-0.003481141,0.0438581,0.04791778,-0.006689344,0.023972321,0.057900403,-0.003480609,-0.041006301,0.036582503,0.032661196,0.057164665,0.026546707,0.010867942,0.015876733,not_covid
_dfcXBTcmqU_,0.670417905,0.020245846,1389.674637,1237.041005,2947.00826,0.082051595,-340.3615723,149.0190125,-51.05485535,32.67561722,24.89003181,-18.58034706,24.42075348,6.326106548,-5.671355724,18.44390678,-3.880997896,-3.694062948,8.235622406,-8.894458771,-1.404212356,3.843927145,-6.937236786,1.522522688,1.244828105,-3.324413061,-0.060380097,-0.02401242,0.023275392,-0.016319804,-0.0193887,0.004269348,-0.009810257,-0.022518529,-0.005706639,0.008410079,-0.016741237,-0.040873092,-0.019934693,-0.009775064,-0.018622182,-0.004877361,0.003279148,0.015084012,0.034573268,0.005152946,-0.001220301,-0.004222271,-0.018515525,-0.0174399,0.009430708,0.015547582,0.009211738,0.007427237,-0.003710096,-0.004675815,-0.00447926,-0.011157608,0.00939895,0.018127004,-0.016789008,-0.032243047,-0.020985637,-0.024365366,-0.02344973,-0.002175317,not_covid
_e4GZ6p6nCY_,0.320342183,0.147329643,2142.750787,1969.371745,4559.406535,0.113880299,-114.3811874,109.4351425,-42.72577667,36.14263153,-32.86989212,27.51580048,-23.31252289,11.50167084,-18.30365181,1.524811506,-3.077857018,-8.067890167,-2.686893225,-11.05760098,6.5159688,-4.268425941,11.69841671,1.426181674,7.157042503,-1.782540441,-0.946303248,0.203708962,0.136815518,-0.128874034,0.218230426,-0.152285933,0.199035957,0.018995475,0.119627967,-0.093822852,0.042912658,0.008057797,0.004151131,0.058765594,-0.00578917,0.010979935,-0.006117931,0.033426233,-0.094515555,-0.022454623,0.026008416,-0.023981802,0.037610561,0.012893714,-0.069856696,-0.020759817,0.011976538,-0.007468928,-0.020970698,0.011300108,0.004446632,0.009836901,-0.00951583,-0.008455489,-0.021777395,-0.008642155,-0.011654095,-0.023223536,0.01185032,0.01158009,not_covid
_FVreKE6Fj8_,0.435732663,0.028426996,3328.721079,2605.825378,6177.487183,0.220264576,-350.8288269,43.19164658,-18.35630608,2.195845366,-14.48153877,-6.630214214,-20.65989876,0.512254477,-12.37197018,-3.851227999,5.10666132,-1.035142303,-8.167939186,-5.570047379,-2.395246744,-0.93240428,-3.191743374,-3.972606897,-1.647129059,-2.245071173,-2.150651932,-0.084629185,0.283542395,0.005369725,0.155244634,-0.016522001,0.088692196,-0.041574124,0.142233878,0.135301173,-0.061115738,-0.022740925,0.070914477,0.003860986,0.063429251,0.002448237,0.039609645,-0.012875897,-0.076051675,0.125674054,0.192298949,0.07536573,0.074577585,0.013841816,0.020948447,0.028311158,0.007817095,0.058691479,0.08101999,0.04984583,-0.054848392,-0.061993115,0.007826303,0.029259466,0.024150237,0.03240715,0.030852286,-0.021243596,0.005945396,0.04391763,not_covid
_HLvqHDclW8_,0.641448736,0.017533304,3692.741736,3065.321997,7651.464844,0.174442998,-515.5197144,7.931118488,-7.65088129,0.891405046,-1.774749279,-3.747826099,-6.709076405,-7.538886547,-7.257492065,-1.834218383,0.126725554,1.530359864,-2.931905031,0.097681396,-1.089970112,-0.491707832,0.504097998,2.116751432,0.376427531,0.686588824,-0.621015608,0.018829111,0.064229645,0.054752722,-0.022430375,-0.005216074,0.038780313,-0.014879656,0.052673388,0.011188722,-0.015824618,0.009632524,0.005693163,-0.004065888,0.026297299,0.011941451,0.016433055,-0.01201992,0.006763095,0.001355766,-0.052507803,-0.034771487,0.039590243,0.014020081,-0.003761237,-0.012073486,0.013306514,0.014659996,0.017337305,-0.008418423,-0.002555636,-0.026686314,0.029179992,-0.019386049,-0.022625253,0.001091352,-0.012203709,-0.00922855,0.016556801,0.010005753,not_covid
_hptdlGvSV4_,0.540727258,0.005539697,2654.259085,2633.737563,5627.094523,0.142763491,-515.0594482,74.74021912,0.495092183,37.17488098,18.15175056,11.28610802,-10.94757938,-6.702816486,2.929528713,-2.741777182,-4.980043888,1.455690503,0.38060081,5.354941845,3.761846542,-4.235328197,-4.701537609,1.610036254,-1.580127597,0.611709714,-0.050420586,-0.081670992,-0.013112986,0.005689656,-0.016646978,-0.03529289,-0.020700844,-0.034498185,-0.042870849,-0.021209875,-0.023060931,0.026925938,-0.009957273,-0.024114616,-0.013406117,-0.025292754,-0.013442534,-0.008999191,-0.012680224,0.025864635,0.0145385,0.027365102,0.013813813,-0.000697419,0.014882079,0.002923204,-0.022245333,-0.004730163,0.001030163,0.000695332,-0.003648679,-0.004907846,-0.019588009,0.0103654,0.035518531,0.021605793,0.019490281,-0.010397728,-0.003443451,-0.003244994,not_covid
_o5xtnLwtRc_,0.363649458,0.038308717,2468.037657,2333.799793,4950.094604,0.124923141,-286.6290283,75.9391098,-23.31753159,6.229537487,-27.61882401,-11.22818375,-33.4435463,-9.168497086,-11.41187859,-1.385325789,-14.36598301,-10.70116711,-15.29849339,-5.949688911,-16.53561592,-12.95928478,-9.248907089,-9.868317604,-4.971841335,3.195715666,1.748139143,0.226805657,-0.110345952,0.009475254,-0.331774443,0.022923259,-0.058761049,0.061698228,-0.093759738,0.046180263,-0.167748034,0.006961232,-0.125574812,0.079421982,0.012855601,0.001106807,-0.040307689,-0.15159215,0.003906493,0.013779406,-0.370714724,-0.149270549,0.07146804,0.071916871,0.061991256,0.071222924,0.001016094,0.038481809,-0.005380189,0.041048493,0.018449577,0.031261202,-0.001328645,0.045815106,0.04004468,0.048326753,0.036270563,0.052847534,0.049456015,0.054644533,not_covid
_qDSR5skY0c_,0.408119589,0.085317746,2293.475325,2375.801055,4855.438232,0.118062337,-207.1575317,94.86842346,-18.58927727,5.59125948,-8.7519207,-1.699963331,-19.92229271,-12.62507534,-14.44756889,-5.617581367,-12.75155163,2.21583581,-2.365661144,0.424628258,-4.278124809,-6.224642277,-7.433105469,0.082553901,-5.072488308,-5.269316673,-0.085373156,0.007604352,0.0094073,-0.036725942,0.027905609,0.07454408,0.119058788,0.026683994,-0.080366142,-0.027871219,-0.010497428,0.01190298,0.033154517,-0.10829173,0.032058354,0.035526462,0.027447402,0.026844814,0.039217506,-0.0170743,0.300643146,0.073799171,-0.018579347,0.014702748,-0.060388383,0.011901584,0.018197015,0.001791126,-0.018298712,0.001040734,-0.009502279,0.015478386,-0.04523256,-0.044609826,0.002954916,-0.001008847,-0.015910104,0.030352499,0.008342368,-0.051116873,not_covid
_YqaeNeVQbw_,0.48936218,0.020425387,2563.196838,2679.712956,5491.016642,0.122712312,-289.0490723,70.30587006,-4.60723114,33.21620178,27.45362091,14.51577377,6.928514957,14.42473888,11.35213566,3.313901663,-6.430522919,3.695421457,2.843844414,0.91589278,-4.785377979,-0.219918504,0.711615622,-0.948824406,-4.877027512,-1.386635303,-0.14722456,-0.106782198,0.085358106,-0.057489775,-0.074343167,0.222304478,-0.010877728,-0.0813815,0.068804465,0.011473225,-0.072476573,-0.021953806,0.054977778,0.018060841,-0.015592951,-0.069658816,-0.040121466,0.081730708,0.022040376,-0.024342464,0.242296398,-0.036030129,-0.063996106,0.068278939,0.013065034,-0.037280172,0.034481436,0.05431908,-0.011964395,-0.052558903,-0.001100089,0.01358236,-0.019596312,0.003353104,0.018244447,0.014190153,0.011957579,-0.026546197,-0.009192661,9.03E-05,not_covid
_zrAnhgYzSo_,0.428799987,0.029970789,2720.176377,2465.556088,5318.900553,0.166207773,-315.4739075,74.88441467,-32.14883041,-14.00365162,-11.39524937,-7.054568291,-9.407899857,0.738827169,-21.79786491,-12.03156948,-12.61190987,-10.06707859,-5.068985462,-7.069020748,-6.019253254,-4.059853554,-7.847695827,-5.979876518,-8.779450417,-5.350870609,-0.684186459,0.148324996,0.034259286,-0.132982716,-0.081976801,-0.170027867,-0.115208954,-0.020794092,-0.04268473,0.041074831,-0.125901058,-0.164349765,-0.089123569,0.062627278,0.255908728,0.104690187,-0.014777969,-0.058105618,0.04306272,0.006354047,0.232615978,0.049133901,0.008920766,-0.019231327,-0.005879045,-0.013208703,-0.007652446,0.0224254,-0.045281902,-0.00158732,0.028709332,-0.023134436,-0.007715696,0.0287243,0.089177959,0.062746748,0.012488111,-0.001875683,0.034803096,0.010546845,not_covid
0AWF9zOT8YY_,0.585678637,0.014779585,1389.610402,1455.153793,2822.743734,0.069252297,-489.4329834,76.97901917,-12.5499649,10.3873539,10.51049995,-2.8928895,10.99902248,4.107201576,0.640087008,9.533811569,3.679927588,3.447635174,6.020227432,1.167774677,2.007513285,0.537650824,-2.047217846,2.410251141,3.250026464,2.347101212,-0.212056249,-0.082159564,0.124200948,0.046261422,0.009399449,-0.014385312,-0.064171009,0.014113204,0.053484567,0.005825349,0.007486293,-0.027095458,-0.031125532,0.061308198,0.030100031,-0.056221087,-0.021664668,-0.002086548,0.004587182,0.051507287,0.000726223,-0.000966793,-0.002895059,-0.001206036,-0.00272293,-0.013815699,-0.022086356,-0.00960788,0.013915587,0.021744145,0.009806763,-0.006293125,-0.015619935,-0.014381504,-0.007315298,-0.001441755,0.006827595,0.015135785,0.010429521,-0.001931887,not_covid
0Dh4NhF27jc_,0.501026988,0.023375688,2396.873163,1850.764752,4350.006104,0.169759115,-369.537384,70.14351654,-48.43893433,-1.297024727,-5.667545319,6.251541615,-15.33799648,-1.520153165,-7.616317272,-2.898861885,-2.79174757,-2.33833909,-2.495057344,-5.789984226,-2.141559124,-2.824617624,0.445655882,-3.283265829,-1.326989174,-1.185016513,-0.401277542,0.055212814,0.104243137,-0.148849115,0.066070259,-0.029282685,0.030434618,0.019455018,0.02551708,-0.026594404,0.006626167,0.029857211,0.018996129,0.08869867,0.04084323,0.024030682,-0.013390238,0.019630011,-0.019077227,0.00309326,-0.128301978,-0.069749065,-0.001458495,-0.003485261,0.04188757,0.034972593,0.00167284,0.010281298,-0.013895128,-0.048001334,0.014310854,0.007684584,-0.011687541,0.00227009,-0.015060091,-0.008062215,0.015443521,-0.005221808,0.022815011,0.064079233,not_covid
0EaxcUhZWe8_,0.385113895,0.17200163,1896.584377,1807.455245,3812.523397,0.090182834,-192.5391998,49.99107361,-5.383420467,28.14347267,-0.882336795,7.914915085,-1.641123891,7.568223953,-4.247723103,7.371740341,-1.958190322,6.350680351,-3.229524851,2.370096922,-6.501297474,3.716840506,-5.231426239,0.250357777,-3.78578949,-0.07914234,-0.583217502,-0.259831607,-0.084372096,-0.011131852,-0.012820798,-0.001567064,0.010861975,0.006954538,-0.000561307,-0.046329278,-0.001991444,-0.019580819,0.004997446,0.017667187,-0.00215167,-0.006627675,0.027964544,0.048699815,-0.029302804,-0.00685356,-1.098811984,0.031025343,0.099735349,0.015455458,0.087684877,0.00712419,0.019790597,-0.00435513,0.029085798,-0.007480439,0.041684356,-0.001193709,0.019978117,0.006730267,0.038190771,0.003180215,0.018473977,0.009754878,0.003189925,-0.016958458,not_covid
0iiwZ2_9Vi8_,0.277898401,0.097005367,2546.365388,2722.760741,5742.985026,0.041142216,-162.7445374,67.27061462,-8.856553078,25.80714989,23.65721321,3.8569417,-7.375174522,24.73280144,-1.500420213,-8.230867386,-2.412677288,-6.254649639,-5.48629427,5.000110626,-16.66230011,-11.49490738,-3.343723536,-3.457816839,-7.746649742,-10.11088943,0.691388965,-0.000998153,0.074649341,-0.030837329,-0.010676532,-0.011865903,0.000268427,-0.003135921,-0.001046543,-0.0442141,0.031396236,0.00831637,0.06609489,0.061664827,-0.051438328,-0.070190586,-0.001600778,-0.03458859,0.049518391,-0.006049978,0.008996137,0.005506988,0.03025917,0.060233369,0.020791337,0.009386986,0.015159905,0.002611022,0.022168562,0.044005409,0.036974374,0.035625227,0.017008208,0.013042827,0.040586378,0.012703059,0.00469932,-0.014754159,-0.023128208,0.030526031,not_covid
0MwZQ1-WZyM_,0.317862153,0.04842104,1689.943148,1302.26929,3204.110718,0.102416992,-289.2325439,152.8586578,-84.1761322,43.61156845,-36.92160797,-6.602901459,22.16907883,-23.38989258,9.449364662,-9.032697678,-1.611151695,7.904473305,-6.252167702,7.336905956,3.442315578,3.794109106,-1.521763921,-2.087228298,1.620868683,-4.648045063,2.216774464,0.945463419,-0.572834969,0.089219727,-0.183124483,0.073891245,0.104966991,-0.173067287,0.104271829,-0.090242587,-0.08573281,0.028621802,-0.065418564,0.03144636,-0.047757816,-0.081129089,-0.04153065,0.022334281,0.078482255,-0.088689774,-0.645619869,-0.244010583,0.202874571,-0.012121788,0.126569435,0.092855863,-0.007337236,0.048514791,0.037817247,0.000805471,-0.092320979,-0.056961328,0.056797653,0.064439692,0.023565367,-0.004217819,-0.008446447,-0.046408184,-0.057598643,-0.0507605,not_covid
0mZQ6Q-viPw_,0.552495778,0.023503926,5268.005149,2804.769703,8231.216431,0.437886556,-323.0289307,7.438105106,30.04555893,3.230836868,-14.65365124,16.30102348,-4.530688763,16.11907578,-14.21895504,8.926140785,-2.221210003,2.034223557,2.495680809,6.256581783,-6.824845314,8.798110008,-3.758736849,0.558188617,-4.122995377,2.217642546,-1.537114859,0.076525412,0.248022079,0.171530068,0.30322513,0.100257501,0.08006005,0.113603197,0.081681997,0.015663611,0.032430138,0.077003032,-0.108791873,0.005272578,0.053944621,-0.048109405,0.041380856,0.028481241,0.039980385,-0.010998927,0.020545183,0.0611948,-0.028110303,-0.016098967,-0.025614696,0.004967645,-0.007453051,-0.010215909,-0.033350751,-0.004891525,0.008048761,-0.012332177,-0.014069991,-0.011633444,0.017010408,0.038677778,0.000238706,0.000874545,-0.010573201,0.023014324,not_covid
0oUkEze_kmo_,0.449964076,0.015563735,1920.316681,2045.22956,3931.404622,0.099236382,-380.8705139,112.4685974,-19.43079376,1.135084987,-0.923161805,1.677946448,-4.276975632,-1.321050048,-0.991483986,-4.103591919,-4.771017551,-4.76339674,-5.190232277,-2.569296837,-2.076706886,0.813901365,-0.38882032,0.572594702,-2.121651649,0.483421385,0.23077625,0.216968045,0.092099935,-0.06518618,-0.104765497,0.038139526,-0.011742095,-4.11E-05,0.049209982,0.020066284,0.026474377,-0.026054535,-0.01298732,0.007243028,-0.01604902,-0.029391827,0.001685083,0.013664328,-0.024853516,-0.000359992,-0.006774752,-0.003768153,0.024245741,0.020242212,-0.000987182,0.015547595,0.001587645,-0.016328128,-0.011745369,-0.006919119,-0.016539786,-0.040731374,-0.014332091,0.014625079,0.012548526,0.008754983,0.007692867,0.008274869,0.001912797,0.017798953,not_covid
0qCvekeAHkc_,0.264923126,0.006055393,1337.378712,2054.728419,2823.192342,0.033230252,-438.9078674,134.86586,12.16794872,24.17474174,4.366745472,18.71654129,1.269407749,4.357101917,-1.480031013,6.846522808,-3.706582785,1.874265075,-5.349734783,-2.539191961,-6.162723064,-3.739096165,-6.869716167,-4.498134136,-8.347489357,-5.560195446,-0.073066868,0.059613552,0.030086098,-0.001237581,0.008259438,0.009487852,0.027395228,0.029196391,-0.007208292,-0.018740263,0.024438776,0.0119602,0.024789112,0.032546636,0.02234304,0.001341937,-0.004550823,0.016648065,0.023617724,-0.010201029,0.011230393,0.029350935,-0.027413532,0.008861467,0.02167646,-0.009707372,-0.001844901,-0.012481113,0.005583575,0.024639225,0.015421893,-0.001119965,-0.023187272,0.004314684,0.019297175,-0.003431665,-0.008719048,0.010076438,0.010972934,0.036807805,not_covid
0qktEoIX2Sk_,0.337311864,0.030012555,2708.071999,2574.091281,5812.718709,0.135846173,-340.7649231,66.57048798,-9.232458115,-7.363852024,-18.43651009,2.795255899,-24.90070724,-14.6507082,-11.4421978,5.523251057,-14.76212215,-8.48720932,-8.99861908,-11.75252724,-7.19340229,-12.67722321,-12.65477943,-9.691325188,-10.47080803,-5.526122093,-0.014723919,0.004636623,0.156424418,0.006661684,-0.154101625,-0.051663417,0.034678534,0.085547015,-0.199441463,-0.042416953,0.15970403,0.002187115,-0.222362965,0.086634412,0.063719325,-0.048956152,-0.056774847,-0.00341845,0.043180324,-0.054337997,0.297321737,-0.101730235,-0.059880286,0.019422937,0.048228152,0.000493178,0.038887653,-0.011014621,0.0043249,0.010559131,-0.005325567,0.03655266,0.018722316,-0.010383898,0.011037827,0.028130386,-0.013851104,0.009478567,0.021811198,0.034972474,not_covid
